Output for logistic map f(x)=ax(1-x) with a=0.9 and x0=0.4


iteration	value
0		0.400000
1		0.216000
2		0.152410
3		0.116263
4		0.092471
5		0.075528
6		0.062841
7		0.053003
8		0.045174
9		0.038820
10		0.033582
11		0.029209
12		0.025520
13		0.022382
14		0.019693
15		0.017375
16		0.015365
17		0.013616
18		0.012088
19		0.010748
20		0.009569
21		0.008530
22		0.007611
23		0.006798
24		0.006077
25		0.005436
26		0.004865
27		0.004358
28		0.003905
29		0.003501
30		0.003139
31		0.002817
32		0.002528
33		0.002269
34		0.002038
35		0.001830
36		0.001644
37		0.001477
38		0.001328
39		0.001193
40		0.001073
41		0.000964
42		0.000867
43		0.000780
44		0.000701
45		0.000631
46		0.000567
47		0.000510
48		0.000459
49		0.000413
50		0.000371
51		0.000334
52		0.000301
53		0.000270
54		0.000243
55		0.000219
56		0.000197
57		0.000177
58		0.000160
59		0.000144
60		0.000129
61		0.000116
62		0.000105
63		0.000094
64		0.000085
65		0.000076
66		0.000069
67		0.000062
68		0.000056
69		0.000050
70		0.000045
71		0.000041
72		0.000036
73		0.000033
74		0.000030
75		0.000027
76		0.000024
77		0.000022
78		0.000019
79		0.000017
80		0.000016
81		0.000014
82		0.000013
83		0.000011
84		0.000010
85		0.000009
86		0.000008
87		0.000008
88		0.000007
89		0.000006
90		0.000005
91		0.000005
92		0.000004
93		0.000004
94		0.000004
95		0.000003
96		0.000003
97		0.000003
98		0.000002
99		0.000002
100		0.000002
