Output for logistic map f(x)=ax(1-x) with a=3.4495 and x0=0.1


iteration	value
0		0.100000
1		0.310455
2		0.738444
3		0.666252
4		0.767032
5		0.616406
6		0.815633
7		0.518720
8		0.861166
9		0.412419
10		0.835916
11		0.473135
12		0.859885
13		0.415604
14		0.837805
15		0.468744
16		0.859005
17		0.417788
18		0.839060
19		0.465814
20		0.858344
21		0.419424
22		0.839979
23		0.463662
24		0.857820
25		0.420718
26		0.840693
27		0.461987
28		0.857390
29		0.421778
30		0.841268
31		0.460632
32		0.857029
33		0.422669
34		0.841746
35		0.459506
36		0.856719
37		0.423433
38		0.842152
39		0.458549
40		0.856448
41		0.424098
42		0.842502
43		0.457722
44		0.856209
45		0.424685
46		0.842808
47		0.456999
48		0.855996
49		0.425208
50		0.843079
51		0.456358
52		0.855805
53		0.425678
54		0.843321
55		0.455785
56		0.855631
57		0.426104
58		0.843539
59		0.455269
60		0.855473
61		0.426492
62		0.843736
63		0.454801
64		0.855328
65		0.426848
66		0.843916
67		0.454374
68		0.855194
69		0.427176
70		0.844081
71		0.453982
72		0.855070
73		0.427480
74		0.844234
75		0.453621
76		0.854955
77		0.427762
78		0.844374
79		0.453286
80		0.854847
81		0.428025
82		0.844505
83		0.452975
84		0.854747
85		0.428272
86		0.844627
87		0.452685
88		0.854652
89		0.428503
90		0.844742
91		0.452413
92		0.854564
93		0.428720
94		0.844849
95		0.452158
96		0.854480
97		0.428925
98		0.844949
99		0.451919
100		0.854400
