Output for logistic map f(x)=ax(1-x) with a=1.01 and x0=0.5


iteration	value
0		0.500000
1		0.252500
2		0.190631
3		0.155834
4		0.132865
5		0.116364
6		0.103852
7		0.093997
8		0.086013
9		0.079401
10		0.073828
11		0.069061
12		0.064934
13		0.061325
14		0.058140
15		0.055307
16		0.052771
17		0.050486
18		0.048417
19		0.046533
20		0.044811
21		0.043231
22		0.041776
23		0.040431
24		0.039184
25		0.038026
26		0.036945
27		0.035936
28		0.034991
29		0.034105
30		0.033271
31		0.032486
32		0.031745
33		0.031044
34		0.030381
35		0.029753
36		0.029156
37		0.028589
38		0.028050
39		0.027535
40		0.027045
41		0.026577
42		0.026129
43		0.025701
44		0.025291
45		0.024898
46		0.024520
47		0.024158
48		0.023811
49		0.023476
50		0.023154
51		0.022844
52		0.022546
53		0.022258
54		0.021980
55		0.021712
56		0.021453
57		0.021202
58		0.020960
59		0.020726
60		0.020500
61		0.020280
62		0.020068
63		0.019862
64		0.019662
65		0.019468
66		0.019280
67		0.019097
68		0.018920
69		0.018747
70		0.018580
71		0.018417
72		0.018259
73		0.018105
74		0.017955
75		0.017809
76		0.017666
77		0.017528
78		0.017393
79		0.017261
80		0.017133
81		0.017008
82		0.016886
83		0.016766
84		0.016650
85		0.016537
86		0.016426
87		0.016318
88		0.016212
89		0.016109
90		0.016008
91		0.015909
92		0.015812
93		0.015718
94		0.015626
95		0.015535
96		0.015447
97		0.015360
98		0.015276
99		0.015193
100		0.015111
