Output for logistic map f(x)=ax(1-x) with a=3.5 and x0=0.1


iteration	value
0		0.100000
1		0.315000
2		0.755213
3		0.647033
4		0.799335
5		0.561396
6		0.861807
7		0.416835
8		0.850793
9		0.444306
10		0.864144
11		0.410898
12		0.847213
13		0.453051
14		0.867285
15		0.402856
16		0.841970
17		0.465697
18		0.870882
19		0.393564
20		0.835350
21		0.481392
22		0.873788
23		0.385989
24		0.829505
25		0.494993
26		0.874912
27		0.383043
28		0.827124
29		0.500466
30		0.874999
31		0.382814
32		0.826936
33		0.500894
34		0.874997
35		0.382820
36		0.826941
37		0.500884
38		0.874997
39		0.382820
40		0.826941
41		0.500884
42		0.874997
43		0.382820
44		0.826941
45		0.500884
46		0.874997
47		0.382820
48		0.826941
49		0.500884
50		0.874997
51		0.382820
52		0.826941
53		0.500884
54		0.874997
55		0.382820
56		0.826941
57		0.500884
58		0.874997
59		0.382820
60		0.826941
61		0.500884
62		0.874997
63		0.382820
64		0.826941
65		0.500884
66		0.874997
67		0.382820
68		0.826941
69		0.500884
70		0.874997
71		0.382820
72		0.826941
73		0.500884
74		0.874997
75		0.382820
76		0.826941
77		0.500884
78		0.874997
79		0.382820
80		0.826941
81		0.500884
82		0.874997
83		0.382820
84		0.826941
85		0.500884
86		0.874997
87		0.382820
88		0.826941
89		0.500884
90		0.874997
91		0.382820
92		0.826941
93		0.500884
94		0.874997
95		0.382820
96		0.826941
97		0.500884
98		0.874997
99		0.382820
100		0.826941
