Output for logistic map f(x)=ax(1-x) with a=0.9 and x0=0.7


iteration	value
0		0.700000
1		0.189000
2		0.137951
3		0.107029
4		0.086016
5		0.070756
6		0.059174
7		0.050105
8		0.042835
9		0.036900
10		0.031985
11		0.027866
12		0.024380
13		0.021407
14		0.018854
15		0.016649
16		0.014734
17		0.013066
18		0.011605
19		0.010324
20		0.009195
21		0.008200
22		0.007319
23		0.006539
24		0.005847
25		0.005231
26		0.004684
27		0.004195
28		0.003760
29		0.003371
30		0.003024
31		0.002713
32		0.002435
33		0.002186
34		0.001964
35		0.001764
36		0.001585
37		0.001424
38		0.001280
39		0.001150
40		0.001034
41		0.000930
42		0.000836
43		0.000752
44		0.000676
45		0.000608
46		0.000547
47		0.000492
48		0.000442
49		0.000398
50		0.000358
51		0.000322
52		0.000290
53		0.000261
54		0.000235
55		0.000211
56		0.000190
57		0.000171
58		0.000154
59		0.000138
60		0.000125
61		0.000112
62		0.000101
63		0.000091
64		0.000082
65		0.000074
66		0.000066
67		0.000060
68		0.000054
69		0.000048
70		0.000043
71		0.000039
72		0.000035
73		0.000032
74		0.000028
75		0.000026
76		0.000023
77		0.000021
78		0.000019
79		0.000017
80		0.000015
81		0.000014
82		0.000012
83		0.000011
84		0.000010
85		0.000009
86		0.000008
87		0.000007
88		0.000007
89		0.000006
90		0.000005
91		0.000005
92		0.000004
93		0.000004
94		0.000003
95		0.000003
96		0.000003
97		0.000003
98		0.000002
99		0.000002
100		0.000002
