Output for logistic map f(x)=ax(1-x) with a=3.4 and x0=0.1


iteration	value
0		0.100000
1		0.306000
2		0.722038
3		0.682378
4		0.736911
5		0.659170
6		0.763861
7		0.613283
8		0.806368
9		0.530872
10		0.846760
11		0.441176
12		0.838235
13		0.461029
14		0.844836
15		0.445699
16		0.839975
17		0.457019
18		0.843719
19		0.448315
20		0.840917
21		0.454836
22		0.843065
23		0.449842
24		0.841446
25		0.453609
26		0.842683
27		0.450733
28		0.841747
29		0.452910
30		0.842460
31		0.451251
32		0.841920
33		0.452509
34		0.842332
35		0.451551
36		0.842019
37		0.452278
38		0.842257
39		0.451725
40		0.842076
41		0.452145
42		0.842214
43		0.451826
44		0.842109
45		0.452068
46		0.842189
47		0.451884
48		0.842128
49		0.452024
50		0.842174
51		0.451917
52		0.842139
53		0.451998
54		0.842166
55		0.451937
56		0.842146
57		0.451983
58		0.842161
59		0.451948
60		0.842149
61		0.451975
62		0.842158
63		0.451954
64		0.842152
65		0.451970
66		0.842157
67		0.451958
68		0.842153
69		0.451967
70		0.842156
71		0.451960
72		0.842153
73		0.451965
74		0.842155
75		0.451962
76		0.842154
77		0.451965
78		0.842155
79		0.451962
80		0.842154
81		0.451964
82		0.842155
83		0.451963
84		0.842154
85		0.451964
86		0.842155
87		0.451963
88		0.842154
89		0.451963
90		0.842154
91		0.451963
92		0.842154
93		0.451963
94		0.842154
95		0.451963
96		0.842154
97		0.451963
98		0.842154
99		0.451963
100		0.842154
