Output for logistic map f(x)=ax(1-x) with a=1 and x0=0.9


iteration	value
0		0.900000
1		0.090000
2		0.081900
3		0.075192
4		0.069538
5		0.064703
6		0.060516
7		0.056854
8		0.053622
9		0.050746
10		0.048171
11		0.045851
12		0.043749
13		0.041835
14		0.040084
15		0.038478
16		0.036997
17		0.035628
18		0.034359
19		0.033178
20		0.032078
21		0.031049
22		0.030085
23		0.029180
24		0.028328
25		0.027526
26		0.026768
27		0.026051
28		0.025373
29		0.024729
30		0.024117
31		0.023536
32		0.022982
33		0.022454
34		0.021950
35		0.021468
36		0.021007
37		0.020566
38		0.020143
39		0.019737
40		0.019347
41		0.018973
42		0.018613
43		0.018267
44		0.017933
45		0.017611
46		0.017301
47		0.017002
48		0.016713
49		0.016434
50		0.016163
51		0.015902
52		0.015649
53		0.015404
54		0.015167
55		0.014937
56		0.014714
57		0.014497
58		0.014287
59		0.014083
60		0.013885
61		0.013692
62		0.013505
63		0.013322
64		0.013145
65		0.012972
66		0.012804
67		0.012640
68		0.012480
69		0.012324
70		0.012172
71		0.012024
72		0.011880
73		0.011738
74		0.011601
75		0.011466
76		0.011335
77		0.011206
78		0.011081
79		0.010958
80		0.010838
81		0.010720
82		0.010605
83		0.010493
84		0.010383
85		0.010275
86		0.010169
87		0.010066
88		0.009965
89		0.009865
90		0.009768
91		0.009673
92		0.009579
93		0.009487
94		0.009397
95		0.009309
96		0.009222
97		0.009137
98		0.009054
99		0.008972
100		0.008891
