Output for logistic map f(x)=ax(1-x) with a=1 and x0=0.4


iteration	value
0		0.400000
1		0.240000
2		0.182400
3		0.149130
4		0.126890
5		0.110789
6		0.098515
7		0.088810
8		0.080923
9		0.074374
10		0.068843
11		0.064103
12		0.059994
13		0.056395
14		0.053214
15		0.050383
16		0.047844
17		0.045555
18		0.043480
19		0.041589
20		0.039860
21		0.038271
22		0.036806
23		0.035452
24		0.034195
25		0.033025
26		0.031935
27		0.030915
28		0.029959
29		0.029062
30		0.028217
31		0.027421
32		0.026669
33		0.025958
34		0.025284
35		0.024645
36		0.024037
37		0.023460
38		0.022909
39		0.022384
40		0.021883
41		0.021404
42		0.020946
43		0.020507
44		0.020087
45		0.019683
46		0.019296
47		0.018924
48		0.018566
49		0.018221
50		0.017889
51		0.017569
52		0.017260
53		0.016962
54		0.016675
55		0.016397
56		0.016128
57		0.015868
58		0.015616
59		0.015372
60		0.015136
61		0.014907
62		0.014684
63		0.014469
64		0.014259
65		0.014056
66		0.013858
67		0.013666
68		0.013480
69		0.013298
70		0.013121
71		0.012949
72		0.012781
73		0.012618
74		0.012459
75		0.012303
76		0.012152
77		0.012004
78		0.011860
79		0.011720
80		0.011582
81		0.011448
82		0.011317
83		0.011189
84		0.011064
85		0.010941
86		0.010822
87		0.010705
88		0.010590
89		0.010478
90		0.010368
91		0.010261
92		0.010155
93		0.010052
94		0.009951
95		0.009852
96		0.009755
97		0.009660
98		0.009567
99		0.009475
100		0.009385
