Output for logistic map f(x)=ax(1-x) with a=3.56996 and x0=0.4


iteration	value
0		0.400000
1		0.856790
2		0.438037
3		0.878783
4		0.380284
5		0.841325
6		0.476579
7		0.890531
8		0.348018
9		0.810029
10		0.549352
11		0.883795
12		0.366641
13		0.828999
14		0.506076
15		0.892358
16		0.342913
17		0.804397
18		0.561707
19		0.878896
20		0.379978
21		0.841064
22		0.477216
23		0.890637
24		0.347725
25		0.809711
26		0.550057
27		0.883544
28		0.367326
29		0.829650
30		0.504546
31		0.892416
32		0.342751
33		0.804214
34		0.562104
35		0.878721
36		0.380452
37		0.841469
38		0.476229
39		0.890472
40		0.348183
41		0.810207
42		0.548958
43		0.883933
44		0.366261
45		0.828637
46		0.506926
47		0.892319
48		0.343024
49		0.804520
50		0.561438
51		0.879015
52		0.379658
53		0.840789
54		0.477885
55		0.890744
56		0.347426
57		0.809385
58		0.550776
59		0.883286
60		0.368035
61		0.830320
62		0.502968
63		0.892458
64		0.342632
65		0.804081
66		0.562393
67		0.878592
68		0.380800
69		0.841765
70		0.475506
71		0.890348
72		0.348530
73		0.810583
74		0.548125
75		0.884222
76		0.365470
77		0.827879
78		0.508702
79		0.892219
80		0.343301
81		0.804831
82		0.560762
83		0.879310
84		0.378859
85		0.840100
86		0.479559
87		0.890998
88		0.346716
89		0.808610
90		0.552486
91		0.882655
92		0.369758
93		0.831933
94		0.499155
95		0.892487
96		0.342551
97		0.803990
98		0.562590
99		0.878504
100		0.381038
101		0.841968
102		0.475012
103		0.890261
104		0.348773
105		0.810846
106		0.547541
107		0.884421
108		0.364923
109		0.827353
110		0.509933
111		0.892138
112		0.343531
113		0.805088
114		0.560204
115		0.879551
116		0.378206
117		0.839534
118		0.480933
119		0.891192
120		0.346175
121		0.808017
122		0.553792
123		0.882160
124		0.371111
125		0.833184
126		0.496183
127		0.892438
128		0.342690
129		0.804146
130		0.562252
131		0.878655
132		0.380630
133		0.841621
134		0.475858
135		0.890409
136		0.348359
137		0.810399
138		0.548533
139		0.884081
140		0.365856
141		0.828250
142		0.507835
143		0.892271
144		0.343158
145		0.804671
146		0.561111
147		0.879158
148		0.379271
149		0.840456
150		0.478695
151		0.890869
152		0.347075
153		0.809003
154		0.551620
155		0.882977
156		0.368879
157		0.831112
158		0.501097
159		0.892485
160		0.342556
161		0.803995
162		0.562578
163		0.878510
164		0.381023
165		0.841955
166		0.475042
167		0.890266
168		0.348758
169		0.810830
170		0.547577
171		0.884409
172		0.364956
173		0.827385
174		0.509858
175		0.892143
176		0.343516
177		0.805071
178		0.560240
179		0.879535
180		0.378248
181		0.839571
182		0.480844
183		0.891180
184		0.346209
185		0.808054
186		0.553710
187		0.882191
188		0.371026
189		0.833106
190		0.496369
191		0.892443
192		0.342676
193		0.804130
194		0.562286
195		0.878640
196		0.380671
197		0.841656
198		0.475773
199		0.890394
200		0.348400
201		0.810443
