Output for logistic map f(x)=ax(1-x) with a=2.9 and x0=0.1


iteration	value
0		0.100000
1		0.261000
2		0.559349
3		0.714785
4		0.591215
5		0.700871
6		0.607987
7		0.691183
8		0.619003
9		0.683931
10		0.626891
11		0.678306
12		0.632800
13		0.673856
14		0.637345
15		0.670296
16		0.640898
17		0.667428
18		0.643707
19		0.665110
20		0.645942
21		0.663233
22		0.647730
23		0.661710
24		0.649164
25		0.660475
26		0.650319
27		0.659473
28		0.651249
29		0.658659
30		0.651999
31		0.657999
32		0.652605
33		0.657464
34		0.653095
35		0.657030
36		0.653491
37		0.656678
38		0.653811
39		0.656392
40		0.654070
41		0.656161
42		0.654280
43		0.655973
44		0.654450
45		0.655821
46		0.654587
47		0.655698
48		0.654699
49		0.655598
50		0.654789
51		0.655517
52		0.654862
53		0.655452
54		0.654921
55		0.655399
56		0.654969
57		0.655356
58		0.655007
59		0.655321
60		0.655039
61		0.655293
62		0.655064
63		0.655270
64		0.655085
65		0.655251
66		0.655101
67		0.655236
68		0.655115
69		0.655224
70		0.655126
71		0.655214
72		0.655135
73		0.655206
74		0.655142
75		0.655200
76		0.655148
77		0.655195
78		0.655152
79		0.655190
80		0.655156
81		0.655187
82		0.655159
83		0.655184
84		0.655162
85		0.655182
86		0.655164
87		0.655180
88		0.655165
89		0.655179
90		0.655167
91		0.655178
92		0.655168
93		0.655177
94		0.655169
95		0.655176
96		0.655169
97		0.655175
98		0.655170
99		0.655175
100		0.655170
