Output for logistic map f(x)=ax(1-x) with a=3 and x0=0.4


iteration	value
0		0.400000
1		0.720000
2		0.604800
3		0.717051
4		0.608667
5		0.714575
6		0.611873
7		0.712453
8		0.614591
9		0.710607
10		0.616934
11		0.708979
12		0.618983
13		0.707529
14		0.620795
15		0.706226
16		0.622413
17		0.705045
18		0.623870
19		0.703969
20		0.625190
21		0.702982
22		0.626394
23		0.702073
24		0.627499
25		0.701232
26		0.628517
27		0.700450
28		0.629459
29		0.699721
30		0.630335
31		0.699039
32		0.631151
33		0.698398
34		0.631914
35		0.697796
36		0.632630
37		0.697228
38		0.633304
39		0.696690
40		0.633939
41		0.696181
42		0.634539
43		0.695698
44		0.635107
45		0.695238
46		0.635646
47		0.694800
48		0.636158
49		0.694383
50		0.636646
51		0.693984
52		0.637111
53		0.693602
54		0.637555
55		0.693236
56		0.637980
57		0.692885
58		0.638387
59		0.692547
60		0.638776
61		0.692223
62		0.639151
63		0.691911
64		0.639510
65		0.691611
66		0.639856
67		0.691321
68		0.640189
69		0.691041
70		0.640510
71		0.690771
72		0.640819
73		0.690510
74		0.641118
75		0.690257
76		0.641407
77		0.690012
78		0.641686
79		0.689775
80		0.641956
81		0.689546
82		0.642217
83		0.689323
84		0.642471
85		0.689106
86		0.642717
87		0.688896
88		0.642955
89		0.688692
90		0.643186
91		0.688493
92		0.643411
93		0.688300
94		0.643630
95		0.688112
96		0.643842
97		0.687928
98		0.644049
99		0.687750
100		0.644250
