Output for logistic map f(x)=ax(1-x) with a=0.99 and x0=0.4


iteration	value
0		0.400000
1		0.237600
2		0.179335
3		0.145702
4		0.123228
5		0.106963
6		0.094566
7		0.084767
8		0.076806
9		0.070198
10		0.064617
11		0.059838
12		0.055694
13		0.052067
14		0.048862
15		0.046010
16		0.043454
17		0.041150
18		0.039062
19		0.037161
20		0.035422
21		0.033826
22		0.032355
23		0.030995
24		0.029734
25		0.028561
26		0.027468
27		0.026446
28		0.025490
29		0.024591
30		0.023747
31		0.022951
32		0.022200
33		0.021490
34		0.020818
35		0.020181
36		0.019576
37		0.019001
38		0.018453
39		0.017932
40		0.017434
41		0.016959
42		0.016504
43		0.016070
44		0.015653
45		0.015254
46		0.014871
47		0.014504
48		0.014150
49		0.013811
50		0.013484
51		0.013169
52		0.012866
53		0.012573
54		0.012291
55		0.012018
56		0.011755
57		0.011501
58		0.011255
59		0.011017
60		0.010787
61		0.010563
62		0.010347
63		0.010138
64		0.009935
65		0.009738
66		0.009546
67		0.009361
68		0.009180
69		0.009005
70		0.008835
71		0.008669
72		0.008508
73		0.008351
74		0.008199
75		0.008050
76		0.007906
77		0.007765
78		0.007627
79		0.007493
80		0.007363
81		0.007236
82		0.007111
83		0.006990
84		0.006872
85		0.006757
86		0.006644
87		0.006534
88		0.006426
89		0.006321
90		0.006218
91		0.006118
92		0.006019
93		0.005923
94		0.005829
95		0.005737
96		0.005648
97		0.005559
98		0.005473
99		0.005389
100		0.005306
