Output for logistic map f(x)=ax(1-x) with a=3.449 and x0=0.9


iteration	value
0		0.900000
1		0.310410
2		0.738278
3		0.666428
4		0.766718
5		0.616893
6		0.815123
7		0.519756
8		0.860904
9		0.413012
10		0.836152
11		0.472520
12		0.859645
13		0.416140
14		0.837995
15		0.468235
16		0.858770
17		0.418309
18		0.839233
19		0.465341
20		0.858107
21		0.419948
22		0.840148
23		0.463199
24		0.857579
25		0.421251
26		0.840862
27		0.461522
28		0.857144
29		0.422325
30		0.841441
31		0.460160
32		0.856776
33		0.423231
34		0.841923
35		0.459022
36		0.856458
37		0.424011
38		0.842334
39		0.458052
40		0.856181
41		0.424693
42		0.842690
43		0.457211
44		0.855935
45		0.425296
46		0.843002
47		0.456473
48		0.855716
49		0.425836
50		0.843279
51		0.455817
52		0.855517
53		0.426322
54		0.843527
55		0.455230
56		0.855337
57		0.426764
58		0.843751
59		0.454699
60		0.855172
61		0.427169
62		0.843955
63		0.454216
64		0.855020
65		0.427540
66		0.844141
67		0.453774
68		0.854880
69		0.427884
70		0.844313
71		0.453367
72		0.854750
73		0.428203
74		0.844471
75		0.452991
76		0.854628
77		0.428500
78		0.844618
79		0.452642
80		0.854515
81		0.428777
82		0.844754
83		0.452317
84		0.854408
85		0.429038
86		0.844882
87		0.452013
88		0.854308
89		0.429283
90		0.845002
91		0.451728
92		0.854213
93		0.429514
94		0.845115
95		0.451460
96		0.854124
97		0.429733
98		0.845221
99		0.451208
100		0.854039
