Output for logistic map f(x)=ax(1-x) with a=3.44949 and x0=0.1


iteration	value
0		0.100000
1		0.310454
2		0.738440
3		0.666256
4		0.767025
5		0.616416
6		0.815623
7		0.518742
8		0.861161
9		0.412431
10		0.835921
11		0.473123
12		0.859881
13		0.415615
14		0.837809
15		0.468734
16		0.859000
17		0.417798
18		0.839064
19		0.465805
20		0.858339
21		0.419435
22		0.839983
23		0.463652
24		0.857815
25		0.420729
26		0.840696
27		0.461977
28		0.857385
29		0.421789
30		0.841272
31		0.460622
32		0.857024
33		0.422680
34		0.841750
35		0.459496
36		0.856713
37		0.423444
38		0.842156
39		0.458539
40		0.856443
41		0.424110
42		0.842506
43		0.457712
44		0.856204
45		0.424697
46		0.842812
47		0.456988
48		0.855991
49		0.425221
50		0.843083
51		0.456347
52		0.855799
53		0.425691
54		0.843325
55		0.455774
56		0.855625
57		0.426118
58		0.843543
59		0.455258
60		0.855467
61		0.426506
62		0.843741
63		0.454789
64		0.855322
65		0.426862
66		0.843921
67		0.454362
68		0.855188
69		0.427191
70		0.844086
71		0.453969
72		0.855064
73		0.427495
74		0.844238
75		0.453607
76		0.854948
77		0.427777
78		0.844379
79		0.453272
80		0.854841
81		0.428041
82		0.844511
83		0.452961
84		0.854740
85		0.428287
86		0.844633
87		0.452671
88		0.854645
89		0.428519
90		0.844747
91		0.452399
92		0.854556
93		0.428736
94		0.844854
95		0.452144
96		0.854472
97		0.428942
98		0.844955
99		0.451904
100		0.854393
