Output for logistic map f(x)=ax(1-x) with a=3 and x0=0.1


iteration	value
0		0.100000
1		0.270000
2		0.591300
3		0.724993
4		0.598135
5		0.721109
6		0.603333
7		0.717967
8		0.607471
9		0.715350
10		0.610873
11		0.713121
12		0.613738
13		0.711191
14		0.616195
15		0.709496
16		0.618334
17		0.707991
18		0.620219
19		0.706642
20		0.621897
21		0.705423
22		0.623404
23		0.704315
24		0.624767
25		0.703300
26		0.626008
27		0.702366
28		0.627144
29		0.701503
30		0.628189
31		0.700703
32		0.629155
33		0.699957
34		0.630052
35		0.699260
36		0.630887
37		0.698606
38		0.631667
39		0.697991
40		0.632398
41		0.697412
42		0.633086
43		0.696865
44		0.633733
45		0.696347
46		0.634344
47		0.695855
48		0.634922
49		0.695388
50		0.635471
51		0.694943
52		0.635992
53		0.694519
54		0.636487
55		0.694114
56		0.636960
57		0.693726
58		0.637411
59		0.693355
60		0.637842
61		0.692999
62		0.638254
63		0.692658
64		0.638649
65		0.692329
66		0.639028
67		0.692013
68		0.639393
69		0.691709
70		0.639743
71		0.691416
72		0.640080
73		0.691133
74		0.640405
75		0.690859
76		0.640718
77		0.690595
78		0.641020
79		0.690340
80		0.641312
81		0.690093
82		0.641594
83		0.689853
84		0.641868
85		0.689621
86		0.642132
87		0.689396
88		0.642388
89		0.689177
90		0.642636
91		0.688965
92		0.642877
93		0.688759
94		0.643111
95		0.688558
96		0.643338
97		0.688363
98		0.643558
99		0.688173
100		0.643773
101		0.687988
102		0.643981
103		0.687808
104		0.644184
105		0.687633
106		0.644382
107		0.687462
108		0.644574
109		0.687295
110		0.644762
111		0.687132
112		0.644945
113		0.686973
114		0.645123
115		0.686818
116		0.645298
117		0.686666
118		0.645468
119		0.686518
120		0.645634
121		0.686373
122		0.645796
123		0.686231
124		0.645954
125		0.686092
126		0.646109
127		0.685956
128		0.646261
129		0.685823
130		0.646409
131		0.685693
132		0.646554
133		0.685566
134		0.646696
135		0.685441
136		0.646835
137		0.685318
138		0.646972
139		0.685198
140		0.647105
141		0.685080
142		0.647236
143		0.684965
144		0.647364
145		0.684852
146		0.647490
147		0.684740
148		0.647613
149		0.684631
150		0.647734
151		0.684524
152		0.647853
153		0.684419
154		0.647969
155		0.684315
156		0.648083
157		0.684214
158		0.648196
159		0.684114
160		0.648306
161		0.684016
162		0.648414
163		0.683920
164		0.648521
165		0.683825
166		0.648625
167		0.683731
168		0.648728
169		0.683640
170		0.648829
171		0.683549
172		0.648929
173		0.683461
174		0.649027
175		0.683373
176		0.649123
177		0.683287
178		0.649217
179		0.683202
180		0.649311
181		0.683119
182		0.649402
183		0.683037
184		0.649492
185		0.682956
186		0.649581
187		0.682876
188		0.649669
189		0.682798
190		0.649755
191		0.682720
192		0.649840
193		0.682644
194		0.649923
195		0.682569
196		0.650006
197		0.682495
198		0.650087
199		0.682422
200		0.650167
201		0.682350
202		0.650246
203		0.682279
204		0.650323
205		0.682209
206		0.650400
207		0.682139
208		0.650476
209		0.682071
210		0.650550
211		0.682004
212		0.650624
213		0.681937
214		0.650696
215		0.681872
216		0.650768
217		0.681807
218		0.650838
219		0.681743
220		0.650908
221		0.681680
222		0.650977
223		0.681618
224		0.651045
225		0.681556
226		0.651112
227		0.681496
228		0.651178
229		0.681436
230		0.651243
231		0.681376
232		0.651308
233		0.681318
234		0.651372
235		0.681260
236		0.651434
237		0.681203
238		0.651497
239		0.681146
240		0.651558
241		0.681090
242		0.651619
243		0.681035
244		0.651679
245		0.680981
246		0.651738
247		0.680927
248		0.651796
249		0.680873
250		0.651854
251		0.680821
252		0.651912
253		0.680769
254		0.651968
255		0.680717
256		0.652024
257		0.680666
258		0.652079
259		0.680616
260		0.652134
261		0.680566
262		0.652188
263		0.680516
264		0.652241
265		0.680468
266		0.652294
267		0.680419
268		0.652347
269		0.680372
270		0.652398
271		0.680324
272		0.652449
273		0.680278
274		0.652500
275		0.680231
276		0.652550
277		0.680185
278		0.652600
279		0.680140
280		0.652649
281		0.680095
282		0.652697
283		0.680051
284		0.652745
285		0.680007
286		0.652793
287		0.679963
288		0.652840
289		0.679920
290		0.652887
291		0.679877
292		0.652933
293		0.679835
294		0.652978
295		0.679793
296		0.653024
297		0.679751
298		0.653068
299		0.679710
300		0.653113
301		0.679670
302		0.653157
303		0.679629
304		0.653200
305		0.679589
306		0.653243
307		0.679550
308		0.653286
309		0.679510
310		0.653328
311		0.679472
312		0.653370
313		0.679433
314		0.653411
315		0.679395
316		0.653452
317		0.679357
318		0.653493
319		0.679320
320		0.653534
321		0.679282
322		0.653573
323		0.679246
324		0.653613
325		0.679209
326		0.653652
327		0.679173
328		0.653691
329		0.679137
330		0.653730
331		0.679101
332		0.653768
333		0.679066
334		0.653806
335		0.679031
336		0.653843
337		0.678997
338		0.653881
339		0.678962
340		0.653918
341		0.678928
342		0.653954
343		0.678894
344		0.653990
345		0.678861
346		0.654026
347		0.678828
348		0.654062
349		0.678795
350		0.654097
351		0.678762
352		0.654133
353		0.678729
354		0.654167
355		0.678697
356		0.654202
357		0.678665
358		0.654236
359		0.678634
360		0.654270
361		0.678602
362		0.654304
363		0.678571
364		0.654337
365		0.678540
366		0.654370
367		0.678510
368		0.654403
369		0.678479
370		0.654436
371		0.678449
372		0.654468
373		0.678419
374		0.654500
375		0.678389
376		0.654532
377		0.678360
378		0.654563
379		0.678331
380		0.654595
381		0.678301
382		0.654626
383		0.678273
384		0.654657
385		0.678244
386		0.654687
387		0.678216
388		0.654718
389		0.678187
390		0.654748
391		0.678159
392		0.654778
393		0.678132
394		0.654807
395		0.678104
396		0.654837
397		0.678077
398		0.654866
399		0.678049
400		0.654895
401		0.678022
402		0.654924
403		0.677996
404		0.654953
405		0.677969
406		0.654981
407		0.677943
408		0.655009
409		0.677916
410		0.655037
411		0.677890
412		0.655065
413		0.677864
414		0.655093
415		0.677839
416		0.655120
417		0.677813
418		0.655147
419		0.677788
420		0.655174
421		0.677763
422		0.655201
423		0.677738
424		0.655228
425		0.677713
426		0.655254
427		0.677688
428		0.655281
429		0.677664
430		0.655307
431		0.677639
432		0.655333
433		0.677615
434		0.655359
435		0.677591
436		0.655384
437		0.677567
438		0.655410
439		0.677544
440		0.655435
441		0.677520
442		0.655460
443		0.677497
444		0.655485
445		0.677473
446		0.655510
447		0.677450
448		0.655534
449		0.677427
450		0.655559
451		0.677405
452		0.655583
453		0.677382
454		0.655607
455		0.677359
456		0.655631
457		0.677337
458		0.655655
459		0.677315
460		0.655678
461		0.677293
462		0.655702
463		0.677271
464		0.655725
465		0.677249
466		0.655748
467		0.677227
468		0.655771
469		0.677206
470		0.655794
471		0.677184
472		0.655817
473		0.677163
474		0.655840
475		0.677142
476		0.655862
477		0.677121
478		0.655884
479		0.677100
480		0.655907
481		0.677079
482		0.655929
483		0.677059
484		0.655951
485		0.677038
486		0.655972
487		0.677018
488		0.655994
489		0.676998
490		0.656016
491		0.676977
492		0.656037
493		0.676957
494		0.656058
