Output for logistic map f(x)=ax(1-x) with a=3.566 and x0=0.375071


iteration	value
0		0.375071
1		0.835845
2		0.489285
3		0.891091
4		0.346074
5		0.807010
6		0.555387
7		0.880561
8		0.375049
9		0.835825
10		0.489331
11		0.891094
12		0.346064
13		0.806999
14		0.555411
15		0.880551
16		0.375075
17		0.835848
18		0.489278
19		0.891090
20		0.346075
21		0.807011
22		0.555383
23		0.880562
24		0.375045
25		0.835821
26		0.489341
27		0.891095
28		0.346062
29		0.806997
30		0.555415
31		0.880549
32		0.375080
33		0.835852
34		0.489267
35		0.891089
36		0.346078
37		0.807014
38		0.555377
39		0.880564
40		0.375039
41		0.835816
42		0.489353
43		0.891096
44		0.346059
45		0.806994
46		0.555422
47		0.880547
48		0.375087
49		0.835858
50		0.489252
51		0.891088
52		0.346081
53		0.807017
54		0.555370
55		0.880567
56		0.375031
57		0.835809
58		0.489370
59		0.891097
60		0.346056
61		0.806990
62		0.555430
63		0.880543
64		0.375096
65		0.835867
66		0.489232
67		0.891087
68		0.346085
69		0.807022
70		0.555360
71		0.880571
72		0.375020
73		0.835799
74		0.489394
75		0.891099
76		0.346051
77		0.806984
78		0.555442
79		0.880539
80		0.375109
81		0.835878
82		0.489204
83		0.891084
84		0.346091
85		0.807029
86		0.555345
87		0.880577
88		0.375005
89		0.835786
90		0.489427
91		0.891101
92		0.346044
93		0.806977
94		0.555459
95		0.880532
96		0.375127
97		0.835894
98		0.489167
99		0.891082
100		0.346099
101		0.807037
102		0.555326
103		0.880585
104		0.374984
105		0.835767
106		0.489471
107		0.891105
108		0.346034
109		0.806967
110		0.555481
111		0.880523
112		0.375151
113		0.835915
114		0.489115
115		0.891078
116		0.346110
117		0.807050
118		0.555299
119		0.880595
120		0.374955
121		0.835742
122		0.489532
123		0.891109
124		0.346022
125		0.806953
126		0.555512
127		0.880511
128		0.375184
129		0.835945
130		0.489045
131		0.891072
132		0.346125
133		0.807066
134		0.555263
135		0.880610
136		0.374916
137		0.835707
138		0.489616
139		0.891115
140		0.346004
141		0.806933
142		0.555554
143		0.880495
144		0.375228
145		0.835985
146		0.488950
147		0.891065
148		0.346146
149		0.807089
150		0.555212
151		0.880629
152		0.374862
153		0.835658
154		0.489731
155		0.891124
156		0.345981
157		0.806907
158		0.555611
159		0.880472
160		0.375290
161		0.836039
162		0.488819
163		0.891054
164		0.346175
165		0.807121
166		0.555143
167		0.880657
168		0.374788
169		0.835592
170		0.489889
171		0.891135
172		0.345949
173		0.806872
174		0.555688
175		0.880441
176		0.375373
177		0.836113
178		0.488642
179		0.891040
180		0.346215
181		0.807165
182		0.555048
183		0.880694
184		0.374687
185		0.835502
186		0.490106
187		0.891151
188		0.345905
189		0.806825
190		0.555792
191		0.880400
192		0.375485
193		0.836213
194		0.488403
195		0.891020
196		0.346269
197		0.807224
198		0.554917
199		0.880745
200		0.374547
