Output for logistic map f(x)=ax(1-x) with a=3.44 and x0=0.1


iteration	value
0		0.100000
1		0.309600
2		0.735293
3		0.669553
4		0.761106
5		0.625472
6		0.805843
7		0.538223
8		0.854974
9		0.426537
10		0.841435
11		0.458972
12		0.854210
13		0.428402
14		0.842366
15		0.456783
16		0.853575
17		0.429948
18		0.843119
19		0.455007
20		0.853036
21		0.431257
22		0.843744
23		0.453530
24		0.852571
25		0.432385
26		0.844273
27		0.452277
28		0.852166
29		0.433369
30		0.844728
31		0.451200
32		0.851808
33		0.434235
34		0.845122
35		0.450265
36		0.851491
37		0.435003
38		0.845467
39		0.449444
40		0.851208
41		0.435687
42		0.845771
43		0.448721
44		0.850954
45		0.436299
46		0.846041
47		0.448079
48		0.850727
49		0.436848
50		0.846281
51		0.447508
52		0.850521
53		0.437344
54		0.846495
55		0.446997
56		0.850336
57		0.437790
58		0.846687
59		0.446540
60		0.850169
61		0.438194
62		0.846859
63		0.446129
64		0.850017
65		0.438560
66		0.847014
67		0.445759
68		0.849879
69		0.438891
70		0.847154
71		0.445426
72		0.849754
73		0.439191
74		0.847280
75		0.445125
76		0.849641
77		0.439464
78		0.847394
79		0.444853
80		0.849538
81		0.439711
82		0.847497
83		0.444607
84		0.849445
85		0.439936
86		0.847590
87		0.444384
88		0.849360
89		0.440140
90		0.847674
91		0.444183
92		0.849282
93		0.440326
94		0.847750
95		0.444000
96		0.849212
97		0.440495
98		0.847820
99		0.443834
100		0.849148
