Output for logistic map f(x)=ax(1-x) with a=3.01 and x0=0.4


iteration	value
0		0.400000
1		0.722400
2		0.603620
3		0.720181
4		0.606576
5		0.718311
6		0.609044
7		0.716709
8		0.611142
9		0.715319
10		0.612949
11		0.714100
12		0.614526
13		0.713020
14		0.615913
15		0.712058
16		0.617144
17		0.711194
18		0.618245
19		0.710415
20		0.619234
21		0.709707
22		0.620129
23		0.709063
24		0.620941
25		0.708474
26		0.621682
27		0.707933
28		0.622360
29		0.707435
30		0.622982
31		0.706975
32		0.623556
33		0.706549
34		0.624086
35		0.706154
36		0.624576
37		0.705787
38		0.625032
39		0.705445
40		0.625455
41		0.705126
42		0.625850
43		0.704827
44		0.626218
45		0.704548
46		0.626562
47		0.704286
48		0.626884
49		0.704040
50		0.627187
51		0.703809
52		0.627470
53		0.703591
54		0.627737
55		0.703386
56		0.627988
57		0.703193
58		0.628225
59		0.703011
60		0.628448
61		0.702839
62		0.628658
63		0.702676
64		0.628857
65		0.702522
66		0.629045
67		0.702376
68		0.629222
69		0.702238
70		0.629391
71		0.702107
72		0.629550
73		0.701982
74		0.629701
75		0.701865
76		0.629845
77		0.701753
78		0.629981
79		0.701646
80		0.630110
81		0.701545
82		0.630233
83		0.701449
84		0.630349
85		0.701357
86		0.630460
87		0.701270
88		0.630566
89		0.701187
90		0.630667
91		0.701108
92		0.630762
93		0.701033
94		0.630853
95		0.700961
96		0.630940
97		0.700892
98		0.631023
99		0.700827
100		0.631102
