Output for logistic map f(x)=ax(1-x) with a=2.99 and x0=0.01


iteration	value
0		0.010000
1		0.029601
2		0.085887
3		0.234746
4		0.537125
5		0.743379
6		0.570392
7		0.732684
8		0.585615
9		0.725583
10		0.595345
11		0.720319
12		0.602364
13		0.716169
14		0.607780
15		0.712767
16		0.612144
17		0.709897
18		0.615770
19		0.707426
20		0.618854
21		0.705263
22		0.621523
23		0.703344
24		0.623867
25		0.701624
26		0.625949
27		0.700069
28		0.627818
29		0.698651
30		0.629508
31		0.697351
32		0.631047
33		0.696152
34		0.632458
35		0.695040
36		0.633759
37		0.694005
38		0.634963
39		0.693037
40		0.636083
41		0.692130
42		0.637128
43		0.691276
44		0.638106
45		0.690471
46		0.639025
47		0.689709
48		0.639891
49		0.688987
50		0.640709
51		0.688301
52		0.641483
53		0.687648
54		0.642217
55		0.687025
56		0.642914
57		0.686431
58		0.643578
59		0.685862
60		0.644211
61		0.685317
62		0.644816
63		0.684795
64		0.645394
65		0.684293
66		0.645948
67		0.683811
68		0.646479
69		0.683346
70		0.646989
71		0.682899
72		0.647478
73		0.682468
74		0.647949
75		0.682052
76		0.648403
77		0.681650
78		0.648840
79		0.681262
80		0.649261
81		0.680886
82		0.649668
83		0.680523
84		0.650060
85		0.680171
86		0.650440
87		0.679830
88		0.650807
89		0.679499
90		0.651163
91		0.679178
92		0.651507
93		0.678867
94		0.651840
95		0.678564
96		0.652163
97		0.678271
98		0.652477
99		0.677985
100		0.652781
101		0.677708
102		0.653076
103		0.677438
104		0.653362
105		0.677175
106		0.653641
107		0.676920
108		0.653911
109		0.676671
110		0.654174
111		0.676428
112		0.654430
113		0.676192
114		0.654679
115		0.675962
116		0.654921
117		0.675738
118		0.655157
119		0.675519
120		0.655387
121		0.675306
122		0.655611
123		0.675098
124		0.655828
125		0.674895
126		0.656041
127		0.674697
128		0.656248
129		0.674504
130		0.656449
131		0.674315
132		0.656646
133		0.674131
134		0.656838
135		0.673951
136		0.657025
137		0.673776
138		0.657208
139		0.673604
140		0.657386
141		0.673436
142		0.657560
143		0.673273
144		0.657730
145		0.673112
146		0.657896
147		0.672956
148		0.658058
149		0.672803
150		0.658216
151		0.672653
152		0.658371
153		0.672507
154		0.658521
155		0.672364
156		0.658669
157		0.672224
158		0.658813
159		0.672088
160		0.658954
161		0.671954
162		0.659091
163		0.671823
164		0.659226
165		0.671695
166		0.659357
167		0.671570
168		0.659486
169		0.671447
170		0.659612
171		0.671327
172		0.659735
173		0.671210
174		0.659855
175		0.671095
176		0.659972
177		0.670982
178		0.660087
179		0.670872
180		0.660200
181		0.670765
182		0.660310
183		0.670659
184		0.660418
185		0.670556
186		0.660523
187		0.670455
188		0.660626
189		0.670356
190		0.660727
191		0.670259
192		0.660826
193		0.670164
194		0.660922
195		0.670071
196		0.661017
197		0.669980
198		0.661109
199		0.669891
200		0.661200
