Output for logistic map f(x)=ax(1-x) with a=3.56 and x0=0.4


iteration	value
0		0.400000
1		0.854400
2		0.442866
3		0.878379
4		0.380312
5		0.839002
6		0.480876
7		0.888698
8		0.352133
9		0.812162
10		0.543095
11		0.883388
12		0.366728
13		0.826769
14		0.509871
15		0.889653
16		0.349487
17		0.809351
18		0.549315
19		0.881342
20		0.372298
21		0.831945
22		0.497734
23		0.889982
24		0.348575
25		0.808371
26		0.551471
27		0.880569
28		0.374396
29		0.833836
30		0.493250
31		0.889838
32		0.348974
33		0.808801
34		0.550526
35		0.880912
36		0.373466
37		0.833001
38		0.495232
39		0.889919
40		0.348749
41		0.808558
42		0.551059
43		0.880719
44		0.373989
45		0.833472
46		0.494116
47		0.889877
48		0.348866
49		0.808685
50		0.550781
51		0.880820
52		0.373716
53		0.833226
54		0.494698
55		0.889900
56		0.348802
57		0.808615
58		0.550934
59		0.880765
60		0.373865
61		0.833361
62		0.494380
63		0.889888
64		0.348836
65		0.808652
66		0.550852
67		0.880794
68		0.373785
69		0.833289
70		0.494550
71		0.889894
72		0.348818
73		0.808632
74		0.550896
75		0.880778
76		0.373829
77		0.833328
78		0.494458
79		0.889891
80		0.348828
81		0.808643
82		0.550873
83		0.880787
84		0.373805
85		0.833307
86		0.494507
87		0.889893
88		0.348822
89		0.808637
90		0.550885
91		0.880782
92		0.373818
93		0.833318
94		0.494481
95		0.889892
96		0.348825
97		0.808640
98		0.550879
99		0.880784
100		0.373811
