Rootfinding methods for the equation xe^(-1_x^2)=0
Newtons method
iteration	root		error
185		0.0730674288	7.306743e-02
186		0.0728729001	7.287290e-02
187		0.0726799182	7.267992e-02
188		0.0724884627	7.248846e-02
189		0.0722985137	7.229851e-02
190		0.0721100513	7.211005e-02
191		0.0719230564	7.192306e-02
192		0.0717375100	7.173751e-02
193		0.0715533935	7.155339e-02
194		0.0713706885	7.137069e-02
195		0.0711893772	7.118938e-02
196		0.0710094418	7.100944e-02
197		0.0708308651	7.083087e-02
198		0.0706536301	7.065363e-02
199		0.0704777200	7.047772e-02
200		0.0703031183	7.030312e-02


Bisection Method
iteration	lower bound	upper bound	error
0		-1.0000000000	3.1415926536	1.070796e+00
1		-1.0000000000	1.0707963268	3.539816e-02
2		-1.0000000000	0.0353981634	4.823009e-01
3		-0.4823009183	0.0353981634	2.234514e-01
4		-0.2234513775	0.0353981634	9.402661e-02
5		-0.0940266070	0.0353981634	2.931422e-02
6		-0.0940266070	-0.0293142218	6.167041e-02
7		-0.0616704144	-0.0293142218	4.549232e-02
8		-0.0454923181	-0.0293142218	3.740327e-02
9		-0.0374032700	-0.0293142218	3.335875e-02
10		-0.0374032700	-0.0333587459	3.538101e-02
11		-0.0374032700	-0.0353810079	3.639214e-02
12		-0.0374032700	-0.0363921389	3.689770e-02
13		-0.0368977045	-0.0363921389	3.664492e-02
14		-0.0368977045	-0.0366449217	3.677131e-02
15		-0.0367713131	-0.0366449217	3.670812e-02
16		-0.0367713131	-0.0367081174	3.673972e-02
17		-0.0367397152	-0.0367081174	3.672392e-02
18		-0.0367239163	-0.0367081174	3.671602e-02
19		-0.0367160169	-0.0367081174	3.671207e-02
20		-0.0367160169	-0.0367120671	3.671404e-02
21		-0.0367160169	-0.0367140420	3.671503e-02
22		-0.0367160169	-0.0367150294	3.671552e-02
23		-0.0367155231	-0.0367150294	3.671528e-02
24		-0.0367152763	-0.0367150294	3.671515e-02
25		-0.0367152763	-0.0367151528	3.671521e-02
26		-0.0367152146	-0.0367151528	3.671518e-02
27		-0.0367151837	-0.0367151528	3.671517e-02
28		-0.0367151837	-0.0367151683	3.671518e-02
29		-0.0367151837	-0.0367151760	3.671518e-02
30		-0.0367151798	-0.0367151760	3.671518e-02
31		-0.0367151798	-0.0367151779	3.671518e-02
32		-0.0367151789	-0.0367151779	3.671518e-02
33		-0.0367151789	-0.0367151784	3.671518e-02
34		-0.0367151786	-0.0367151784	3.671518e-02
35		-0.0367151785	-0.0367151784	3.671518e-02
36		-0.0367151785	-0.0367151784	3.671518e-02


Regula Falsi Method
iteration	lower bound	upper bound	error
0		-1.0000000000	3.1415926536	1.070796e+00
1		-1.0000000000	1.0707963268	3.539816e-02
2		-1.0000000000	0.0353981634	4.823009e-01
