deviations of velocity from closure with epsilon=0.85
step size	Euler	RK2	RK4
0.005		4.522e-05	-2.226e-05	2.773e-11
0.01		0.0001838	-8.906e-05	4.453e-10
0.02		0.0007589	-0.0003563	7.129e-09
0.04		0.003234	-0.001425	1.141e-07
0.08		0.01468	-0.005714	1.829e-06
0.16		0.07553	-0.02288	2.929e-05
0.32		0.4627	-0.09188	0.0004579
0.64		3.091	-0.3838	0.006496
1.28		9.27	-2.096	0.0522
