deviations of velocity from closure with epsilon=0.1
step size	Euler	RK2	RK4
0.0001		2.095e-09	-1.047e-09	-1.222e-13
0.0002		8.383e-09	-4.188e-09	4.419e-13
0.0004		3.355e-08	-1.676e-08	-6.166e-14
0.0008		1.344e-07	-6.702e-08	-5.027e-14
0.0016		5.389e-07	-2.681e-07	-8.101e-15
0.0032		2.167e-06	-1.073e-06	5.323e-13
0.0064		8.755e-06	-4.29e-06	8.797e-12
0.0128		3.573e-05	-1.716e-05	1.406e-10
0.0256		0.000149	-6.872e-05	2.253e-09
0.0512		0.0006454	-0.0002749	3.603e-08
0.1024		0.00304	-0.001102	5.785e-07
0.2048		0.01637	-0.004405	9.167e-06
0.4096		0.1151	-0.01794	0.0001434
0.8192		0.7034	-0.08116	0.001869
1.638		0.8902	-0.4104	0.005747
