deviations of position from closure with epsilon=0.85
step size	Euler	RK2	RK4
0.005		-0.003905	-2.43e-08	3.475e-14
0.01		-0.007826	-1.94e-07	1.085e-12
0.02		-0.01571	-1.545e-06	3.481e-11
0.04		-0.03165	-1.227e-05	1.12e-09
0.08		-0.06304	-9.491e-05	3.569e-08
0.16		-0.1268	-0.0007302	1.158e-06
0.32		-0.2301	-0.005127	3.66e-05
0.64		-0.3242	-0.03312	0.001132
1.28		-1.104	-0.232	0.03132
