deviations of velocity from closure with epsilon=0.9
step size	Euler	RK2	RK4
0.0001		1.885e-08	-9.426e-09	-1.171e-12
0.0002		7.545e-08	-3.77e-08	3.978e-12
0.0004		3.02e-07	-1.508e-07	-5.59e-13
0.0008		1.209e-06	-6.032e-07	-4.835e-13
0.0016		4.85e-06	-2.413e-06	-7.844e-14
0.0032		1.95e-05	-9.653e-06	4.792e-12
0.0064		7.879e-05	-3.861e-05	7.918e-11
0.0128		0.0003216	-0.0001544	1.265e-09
0.0256		0.001341	-0.0006185	2.028e-08
0.0512		0.005808	-0.002474	3.243e-07
0.1024		0.02736	-0.00992	5.207e-06
0.2048		0.1473	-0.03965	8.251e-05
0.4096		1.036	-0.1614	0.00129
0.8192		6.33	-0.7304	0.01682
1.638		8.012	-3.694	0.05172
