Successive iterations of the Poisson equation using stepsizes of 0.1


 Iteration	Error
0		190.54
1		123.21
2		93.51
3		76.302
4		64.694
5		56.108
6		49.365
7		43.846
8		39.195
9		35.188
10		31.683
11		28.581
12		25.815
13		23.337
14		21.108
15		19.1
16		17.286
17		15.647
18		14.165
19		12.824
20		11.611
21		10.512
22		9.5178
23		8.6176
24		7.8026
25		7.0646
26		6.3964
27		5.7915
28		5.2437
29		4.7478
30		4.2987
31		3.8922
32		3.524
33		3.1907
34		2.8889
35		2.6157
36		2.3683
37		2.1443
38		1.9415
39		1.7578
40		1.5916
41		1.441
42		1.3047
43		1.1813
44		1.0696
45		0.96844
46		0.87684
47		0.79391
48		0.71882
49		0.65083
50		0.58927
51		0.53354
52		0.48307
53		0.43738
54		0.39601
55		0.35856
56		0.32465
57		0.29394
58		0.26614
59		0.24097
60		0.21818
61		0.19754
62		0.17886
63		0.16194
64		0.14662
65		0.13276
66		0.1202
67		0.10883
68		0.098537
69		0.089217
70		0.080779
71		0.073139
72		0.066221
73		0.059958
74		0.054287
75		0.049152
76		0.044503
77		0.040294
78		0.036483
79		0.033033
80		0.029908
81		0.027079
82		0.024518
83		0.022199
84		0.0201
85		0.018199
86		0.016477
87		0.014919
88		0.013508
89		0.01223
90		0.011073
91		0.010026
92		0.0090778
93		0.0082192
94		0.0074419
95		0.006738
96		0.0061007
97		0.0055237
98		0.0050013
99		0.0045282
100		0.0040999
101		0.0037122
102		0.0033611
103		0.0030432
104		0.0027553
105		0.0024947
106		0.0022588
107		0.0020451
108		0.0018517
109		0.0016766
110		0.001518
111		0.0013744
112		0.0012444
113		0.0011267
114		0.0010202
115		0.00092367
116		0.00083631
117		0.00075721
118		0.00068559
119		0.00062075
120		0.00056204
121		0.00050888
122		0.00046075
123		0.00041717
124		0.00037771
125		0.00034199
126		0.00030964
127		0.00028036
128		0.00025384
129		0.00022983
130		0.00020809
